Date,Product_ID,Store_ID,Units_Sold,Revenue,Promotion,Holiday
2024-01-01,PRD-104,ST-01,184,4968,True,True
2024-01-02,PRD-207,ST-02,151,3926,False,False
2024-01-03,PRD-311,ST-03,159,4452,False,False
2024-01-04,PRD-104,ST-01,172,4644,False,False
2024-01-05,PRD-207,ST-02,181,4706,True,False
2024-01-06,PRD-311,ST-03,188,5264,False,False
2024-01-07,PRD-104,ST-01,196,5292,False,False
2024-01-08,PRD-207,ST-02,163,4380,False,False
2024-01-09,PRD-311,ST-03,177,4956,False,False
2024-01-10,PRD-104,ST-01,205,5535,True,False
2024-01-11,PRD-207,ST-02,194,5044,False,False
2024-01-12,PRD-311,ST-03,211,5908,False,False
2024-01-13,PRD-104,ST-01,218,5886,False,False
2024-01-14,PRD-207,ST-02,225,5850,False,False
2024-01-15,PRD-311,ST-03,231,6468,True,False
2024-01-16,PRD-104,ST-01,222,5994,False,False
2024-01-17,PRD-207,ST-02,238,6188,False,False
2024-01-18,PRD-311,ST-03,244,6832,False,False
2024-01-19,PRD-104,ST-01,252,6804,True,False
2024-01-20,PRD-207,ST-02,247,6422,False,False
2024-01-21,PRD-311,ST-03,261,7308,False,False
2024-01-22,PRD-104,ST-01,262,7074,False,False
2024-01-23,PRD-207,ST-02,275,7150,True,False
2024-01-24,PRD-311,ST-03,268,7504,False,False
2024-01-25,PRD-104,ST-01,281,7587,False,False
2024-01-26,PRD-207,ST-02,289,7514,False,False
2024-01-27,PRD-311,ST-03,296,8288,True,False
2024-01-28,PRD-104,ST-01,293,7911,False,False
2024-01-29,PRD-207,ST-02,301,7826,False,False
2024-01-30,PRD-311,ST-03,314,8792,False,False
2024-01-31,PRD-104,ST-01,322,8694,True,False
